gene_name	introns	transcripts	proteins
CG30093	1	3	1
Mgn3986	0	2	0
CG30095	2	1	1
CG30094	1	1	1
CG30096	3	2	1
nAcRalpha-96Aa	9	3	2
eIF-1A	5	10	2
chrX_20794723_20794981.0	0	1	0
nAcRalpha-96Ab	9	6	1
CR43995	0	1	0
chr3R_10829515_10830733.0	0	1	0
Myo10A	9	3	3
Mgn1584	2	13	1
CG10887	2	1	1
CR43498	0	1	0
chr2L_10943299_10943621.0	0	1	0
CG5969	1	2	1
TwdlH	1	1	1
CR43496	1	3	0
CR43497	0	3	0
CR43490	0	1	0
Patronin	50	5615	590
CR43492	1	1	0
CR43493	1	2	0
CR44149	0	1	0
CR44148	1	1	0
CG33340	0	2	1
CR44143	0	1	0
ewg	16	401	31
CR44147	0	1	0
CR44146	1	1	0
CG10778	2	3	1
Mgn84025	1	1	0
CG17571	0	1	1
CG17570	1	2	1
snoRNA:Me28S-A1322	0	1	0
CG17572	5	1	1
CG17575	5	4	4
CG17574	19	56	22
Mgn1721	0	1	0
Spn27A	0	2	1
Mis12	2	2	1
inaD	10	3	3
inaE	23	27	13
vari	13	19	10
inaC	10	1	1
Mgn1729	0	1	0
Mgn1728	0	1	0
CG9825	3	1	1
RpS7	5	7	3
CG9826	2	2	2
CG9821	2	20	1
fit	0	1	1
CG9822	2	1	1
CG12725	0	2	1
CG40467	2	1	1
mir-252	0	1	0
CG12402	2	3	3
CG13494	1	2	1
CR16735	0	1	1
CG12581	5	28	3
SA-2	6	2	2
Hil	10	3	1
Him	1	2	1
CR11700	5	8	2
CG42617	6	1	1
CR43891	0	2	0
MRP	34	169	46
CG14445	6	3	3
CG10553	3	2	2
Tsp68C	1	1	1
CR40596	0	7	0
CG31415	1	1	1
roX2	7	49	0
CR43892	2	2	0
PH4alphaNE2	6	1	1
snoRNA:Psi28S-2444	0	1	0
Ugt86Dd	1	3	2
CG43130	4	6	2
CG43131	1	1	1
CG43132	2	2	1
Mgn00193	3	3	1
CG43134	1	1	1
CG3995	1	2	1
timeout	17	2	2
CG43137	1	1	1
CG43138	0	1	1
CG43139	1	1	1
RpS8	3	2	1
CG42269	2	1	1
CG42268	23	45	19
Droj2	7	8	1
CG42266	6	2	2
CG42265	9	8	6
CG42264	4	2	2
CG42263	5	5	2
CG42262	2	4	4
CG42261	4	5	2
CG42260	15	32	8
CG40801	3	1	1
Cg25C	10	22	6
mdy	12	4	2
MKP-4	4	3	1
CG42619	1	1	1
Trs23	1	1	1
whip	0	3	2
Mgn00323	1	1	1
ru	4	2	1
Mgn00321	2	2	1
Mgn00327	2	2	0
Mgn00326	3	6	2
Mgn00325	1	1	1
Mgn00324	4	8	2
CG5506	2	2	2
bnl	6	11	5
CycB3	0	5	2
ry	4	3	2
CG5500	2	2	1
cnc	19	47	9
smo	5	1	1
CG31388	7	4	4
ergic53	4	3	1
rb	4	4	2
dsf	4	1	1
rn	12	11	5
Spred	9	6	4
CG5346	5	4	1
rk	15	5	3
CG42402	10	2	1
Su(z)12	7	12	2
CG42404	5	4	3
PsGEF	8	7	5
Egm	2	1	1
Mgn00154	2	2	0
Mst57Dc	0	2	1
Mst57Db	0	2	1
Mst57Da	0	1	1
CR30055	1	5	0
chr3R_24602543_24603586.0	1	1	0
CG6974	0	1	1
CG6972	7	6	3
Mgn94001	0	1	1
CG6971	2	2	2
ato	0	1	1
atl	7	10	1
CG6978	0	1	1
pri-mir-985	1	1	0
CG14174	2	3	2
rnh1	5	2	2
CG31176	3	2	2
CG14177	0	1	1
Fst	6	30	15
CG11756	0	2	1
yin	5	4	3
CG18659	19	765	44
CG15554	1	1	1
CG15225	0	2	2
CG18304	18	4	4
CG18302	3	2	2
CG18301	3	1	1
CG15220	1	1	1
wash	1	8	2
noncoding_3542	2	1	0
ArfGAP3	12	32	5
Prosbeta2R1	2	1	1
CG11425	0	1	1
noncoding_3098	1	1	0
noncoding_3099	1	1	0
CG12398	1	1	1
CG11423	0	1	1
Mal-B2	5	2	2
Mal-B1	2	1	1
TwdlB	1	1	1
CG13689	2	3	2
Cen	3	13	6
CG13685	0	3	2
Mgn97700	1	1	0
CG31960	0	2	2
CG31961	2	3	2
Ilp3	1	1	1
Sucb	4	3	3
CG4908	2	3	1
noncoding_5874	1	1	0
Ilp2	4	4	1
CG3597	4	3	3
CG3224	1	1	1
CG4907	2	2	2
l(2)s5379	4	18	2
CG4901	7	5	3
CG3592	0	1	1
CG3223	4	4	2
CG3222	0	1	1
TwdlC	1	1	1
chr3R_6217556_6219555.0	0	1	0
l(2)tid	4	12	4
CG32376	0	1	1
Hr96	6	4	2
CG3837	6	2	1
Ilp6	5	6	1
5SrRNA:CR33450	0	1	0
CG32374	0	1	1
Cyp4d21	4	1	1
Sr-CIV	2	1	1
CG33523	12	37	8
knk	5	1	1
CG1907	1	2	1
GH14228	0	1	1
Pvr	31	163	87
trem	4	1	1
chr3L_2975467_2976248.0	1	1	1
CG14798	3	2	2
CG10086	3	3	3
CG10081	11	2	2
CG10082	14	59	9
CG10083	4	1	1
CG3040	0	1	1
CG3045	4	1	1
CG10089	10	23	6
chr3R_2863602_2865426.0	1	1	0
CR43489	1	2	0
UBL3	7	4	1
chr3R_25195043_25195550.0	0	1	0
Mo25	0	4	1
Trf2	18	358	4
CG34404	7	5	4
hug	2	1	1
l(1)G0255	6	3	3
RpII18	1	1	1
CG12024	3	6	3
CG12025	2	4	2
CR43399	1	1	0
CG12795	2	3	1
CG12020	1	1	1
cv-2	6	3	1
Ast	3	4	1
Mgn00153	1	1	0
Asx	16	34	9
Mgn99925	1	2	1
ph-d	6	5	3
Cpr47Ef	18	6	6
Cpr47Eg	1	1	1
Cpr47Ed	1	1	1
Cpr47Ee	1	1	1
Cpr47Eb	0	1	1
Cpr47Ec	1	1	1
CG10338	4	4	1
Cpr47Ea	3	1	1
CG10336	1	4	2
CG10337	2	2	1
Stat92E	18	293	41
CG10332	2	1	1
CG10333	2	2	2
CkIIbeta	16	77	10
CG12605	5	17	2
p16-ARC	1	1	1
Sgs8	1	1	1
Sgs7	1	1	1
Sgs5	2	1	1
Sgs4	0	1	1
Sgs3	1	1	1
Sgs1	1	1	1
pnt	10	3	3
CG13841	2	1	1
noncoding_13343	1	1	0
CG12241	3	2	1
Rbp	25	269	62
tRNA:S7:23Ea	0	1	0
tRNA:S7:23Eb	0	1	0
CG5180	3	3	3
Oatp26F	6	1	1
CG8814	2	2	1
CG8813	0	1	1
Tgt	1	1	1
Pkcdelta	23	7	3
CR40282	0	1	1
RpL18A	1	1	1
CG8141	1	1	1
CG8818	3	2	2
CG2316	34	255	12
CG7766	20	283	91
Ctr1A	9	12	2
CG2310	6	6	1
CG7763	1	2	2
tRNA:CR31071	0	1	0
chr3R_11543436_11543867.0	0	1	0
ste24b	1	1	1
ste24c	3	2	2
ste24a	2	2	2
CG6415	1	1	1
CG6414	3	1	1
tRNA:CR32520	1	2	0
CG7839	4	2	1
CG6412	2	2	1
CG7834	3	2	1
CG7837	7	1	1
CG7830	3	2	1
CG6418	0	1	1
Mst77F	1	1	1
CHOp24	2	1	1
CG5697	8	8	2
CG5694	6	3	2
Hr38	6	3	3
CG5693	0	1	1
CG12608	2	1	1
Rcd5	4	6	4
Rcd4	1	2	1
Rcd7	5	7	3
Rcd6	4	2	1
Rcd1	13	19	14
CG32809	29	18	10
scaRNA:46E3	0	1	0
Sp212	3	1	1
CG32806	2	2	1
Dhc62B	8	3	3
snoRNA:Pi4KIIalpha-a	0	1	0
CheB38a	2	1	1
CheB38b	2	1	1
CheB38c	3	2	2
CG34294	0	1	1
Chmp1	1	5	1
tRNA:S2b:88A	0	1	0
CG14502	6	16	1
CG12814	11	6	6
chr3R_1814949_1816063.0	0	1	1
CG14221	6	3	3
chrX_7159980_7160392.0	0	1	0
Acox57D-p	7	4	2
pxb	4	6	2
TTLL3B	5	5	2
TTLL3A	3	2	2
CG13045	1	2	2
CG13044	2	2	1
CG13047	1	1	1
Nop17l	10	31	2
CG13041	1	1	1
tRNA:CR32123:Psi	0	1	0
CG13043	0	1	1
CG13042	1	1	1
Rpt6R	1	1	1
CG13049	2	3	3
Acox57D-d	7	1	1
fd102C	2	2	1
CG30375	4	2	2
CG30376	1	2	2
CG30377	3	1	1
Nmd3	1	1	1
CG30371	4	2	2
CG30373	1	1	1
CG30378	0	4	2
CG30379	3	2	2
Socs44A	1	1	1
Diedel	0	1	1
Su(Ste):CR42441	0	1	1
Su(Ste):CR42440	0	1	1
Su(Ste):CR42443	0	1	0
Rim	47	1065	153
Mgn84052	9	8	2
Su(Ste):CR42444	0	1	1
Ric	3	8	1
CG9095	11	3	3
mir-932	0	1	0
Irk3	6	8	4
Gr92a	1	1	1
Deaf1	4	18	5
CG33521	17	26	4
CG8673	3	4	3
MIP15258	1	1	1
CG8671	21	113	26
CG13309	1	1	1
CG8677	11	11	6
CG8675	1	1	1
CG9099	3	3	2
CG8679	0	6	1
CG8678	4	3	2
CG13306	1	1	1
CG13305	3	4	2
TwdlW	1	1	1
CG34045	3	1	1
Ank2	40	116	56
CG40635	1	1	0
CG31997	3	2	1
CG31773	0	1	1
snmRNA:430:CR33742	0	1	0
CG43851	0	1	1
CG43850	1	1	1
CG31777	1	1	1
CG31776	4	2	2
CG31775	1	2	1
CG5991	3	8	1
AP-2	11	7	5
CG31778	1	1	1
snmRNA:430:CR33740	0	1	0
CG43679	2	4	1
deltaTry	1	2	2
CG5188	2	1	1
CG4020	8	6	1
CG4021	6	2	2
bxd	3	2	0
CG4025	3	1	1
CG42671	12	30	7
CG42672	15	12	10
CG17217	1	2	2
CG42674	20	121	23
CG17211	5	3	2
CG42676	7	4	3
CG42678	18	144	23
cup	5	5	3
CG17219	2	3	2
CG5189	6	2	2
CG5857	1	2	2
CG14054	3	1	1
CG5292	1	1	1
CG14227	3	1	1
chr2R_12253214_12253455.0	0	1	0
pita	3	5	3
Prestin	5	1	1
CG5290	3	1	1
Mgn3857	1	7	1
nAcRbeta-96A	12	5	3
Vha14-1	0	2	1
Mgn99807	0	1	0
CG11190	1	2	1
Prp18	0	2	1
chr2R_7941269_7941938.0	0	1	0
CG8915	2	3	2
chr3R_23363271_23363640.0	0	1	0
CG15744	2	3	3
CR31514	0	1	1
CG3698	1	2	2
CG3699	0	1	1
CG14540	2	1	1
CG14543	1	2	1
S1P	5	3	2
CG14096	1	1	1
CG14095	1	1	1
CG14546	1	2	1
CG10659	0	1	1
CG18467	4	2	1
fra	11	9	6
prc	21	39	38
CG10651	2	1	1
frj	6	3	1
cdi	12	27	6
CG9416	11	4	1
CG10657	4	2	2
CG18469	0	1	1
Pk34A	1	1	1
fru	19	15	13
fry	38	40	36
CG14304	9	2	2
CG12877	6	2	2
CG32819	5	3	3
Lrt	5	2	2
spir	25	545	31
Mgn84022	2	3	1
CG14891	0	1	1
CG14326	1	1	1
CG14321	1	1	1
CG14323	0	1	1
CG14894	5	11	4
CG14898	2	1	1
CG14329	1	1	1
CG34244	1	2	1
Sulf1	11	6	1
CG5205	5	1	1
tRNA:CR31165	0	1	0
chr3L_16432902_16433603.0	0	1	0
wupA	20	132	22
CG13676	9	2	2
spin	12	6	6
CG13822	2	2	1
CG7220	20	163	2
CG7222	5	3	1
CG7224	5	7	4
CG7227	6	4	1
Muc12Ea	3	1	1
CG7229	1	1	1
CG13675	4	4	2
CG31999	20	19	10
Mgn91	0	4	0
noi	0	1	1
Amy-d	1	2	2
CG14877	4	4	2
Tsp96F	4	8	3
Cpr100A	3	4	2
Mgn159	0	1	0
Ku80	4	2	2
mkg-p	2	2	1
tRNA:CR31162	0	1	0
snoRNA:Psi28S-3327b	0	1	0
tRNA:CR32128	0	1	0
CG8239	4	3	2
RpL35	6	13	9
CG31998	8	14	3
Gem3	1	3	3
snoRNA:tra2-a	0	1	0
mms4	0	1	1
snoRNA:Psi18S-841c	0	1	0
snoRNA:Psi18S-841b	0	1	0
snoRNA:Psi18S-841a	0	1	0
CG32022	1	1	1
synaptogyrin	4	4	1
snoRNA:Psi18S-841d	0	1	0
CG33713	1	1	1
CG7598	1	3	1
CG13359	0	1	1
CG3581	0	1	1
CG31105	7	4	4
CG2070	5	3	3
CG2076	5	2	1
CG13220	0	2	1
Mgn941	0	1	0
Mgn940	0	1	1
Mgn943	0	1	0
CG41423	1	3	2
Mgn945	0	1	0
Cad87A	18	9	1
Mgn947	0	1	0
Mgn946	0	1	0
CadN2	17	6	3
Kal1	6	2	2
Or13a	5	1	1
CG18110	5	1	1
Mgn960	0	1	1
CG3587	4	4	1
CG5830	5	12	2
CG15056	1	1	1
exo84	6	2	2
topi	3	7	5
chr3L_22343822_22344070.0	0	1	0
CG31002	1	1	1
CG15059	2	4	4
CG33191	0	1	1
CG11210	2	2	1
CG11211	2	1	1
GABA-B-R1	16	3	1
Mgn4206	0	1	0
GABA-B-R3	15	13	3
CG33199	2	3	1
CG5835	3	1	1
cindr	12	8	8
CG9331	18	27	7
CG9330	8	2	1
CG9335	2	1	1
l(2)03659	9	4	3
CG6178	8	8	1
CG9336	3	2	2
CG9338	2	1	1
CG6175	4	11	2
CG12491	0	1	1
CG12490	3	1	1
CG12493	2	4	2
TfIIFbeta	1	1	1
CG34242	1	2	1
CG16798	5	1	1
CG16799	4	2	2
CG8319	1	1	1
CG16978	0	1	1
CG16979	2	2	2
CG8314	3	1	1
CG16974	6	5	4
CG8317	3	5	3
CG16972	5	5	3
CG8311	4	5	2
CG8312	10	12	6
Mgn095283	0	1	0
Cnot4	20	20	6
Sox100B	2	1	1
Ent1	5	3	1
ham	12	21	13
noncoding_15421	1	2	0
CG13901	3	7	1
Uvrag	7	10	2
CG34462	2	1	1
haf	15	6	3
5SrRNA:CR33426	0	1	0
5SrRNA:CR33427	0	1	0
5SrRNA:CR33424	0	1	0
5SrRNA:CR33425	0	1	0
CR43708	0	1	0
5SrRNA:CR33423	0	1	0
5SrRNA:CR33420	0	1	0
5SrRNA:CR33421	0	1	0
CR43704	0	4	1
CR43705	2	2	0
CG6310	3	4	1
east	9	433	37
CR43700	1	1	0
5SrRNA:CR33359	0	1	0
5SrRNA:CR33428	0	1	0
wcd	0	1	1
snoRNA:Psi28S-3405b	0	1	0
snoRNA:Psi28S-3405c	0	1	0
snoRNA:Psi28S-3405a	0	1	0
Lgr1	17	6	2
chr2R_12189967_12193362.0	0	1	0
tRNA:CR31228	0	1	0
chr3L_21690430_21690653.0	0	1	0
MESK2	19	298	36
tRNA:R:85Cb	0	1	0
snoRNA:Me28S-C437	0	1	0
CG3909	5	2	1
CG31108	4	1	1
CG8028	4	5	5
CG1637	11	10	6
Nup98-96	8	4	2
CG17778	2	2	2
chr2R_12725458_12726114.0	0	1	1
CG17776	0	2	1
ppk23	7	4	4
snoRNA:Me28S-A2564	0	1	0
Mgn98080	0	1	0
CG17770	1	2	2
Rad17	5	3	3
Cp190	5	4	2
CG1632	9	3	1
CG34328	0	1	1
CG32006	4	2	2
GstD7	0	1	1
GstD6	3	4	3
GstD5	0	2	2
GstD4	0	1	1
GstD3	0	1	1
GstD2	0	1	1
GstD1	3	3	1
vimar	4	4	2
Atac1	0	1	1
Atac2	4	1	1
Atac3	11	4	2
CG9917	1	2	1
Acp98AB	0	2	1
GstD9	1	1	1
GstD8	0	1	1
Gs1	2	6	2
Mgn095269	0	1	0
Aldh-III	30	359	32
CG34327	0	1	1
CG31637	3	3	1
Mst85C	1	2	1
Mgn1700	0	1	0
Mgn1702	1	2	1
NHP2	1	2	1
Mgn1706	0	2	0
Mgn1708	0	1	1
CR12842	1	1	1
CG17514	9	17	10
CG4683	4	3	3
ade5	4	1	1
CG34326	1	2	1
for	17	17	5
ade3	9	9	2
CG9806	5	1	1
CG9804	0	2	1
GH02369	0	1	1
CG9801	5	8	1
soti	2	3	3
CG42689	1	1	1
fog	9	11	1
Ef1gamma	6	5	3
CG32104	12	1	1
CG6499	2	1	1
fon	7	7	5
CG5913	0	1	1
foi	9	8	1
fok	3	5	3
CG7023	2	2	1
CG8273	2	5	2
Mgn095262	0	1	0
CG14785	3	2	2
CG32452	1	2	1
CG14424	1	2	2
Ugt86Di	3	2	2
Gsc	4	3	3
Mgn095267	0	1	0
CG14418	2	2	2
Mgn095266	0	1	0
Rlc1	3	2	2
Mgn155	0	1	0
Mgn95005	0	1	0
Ugt86Dj	1	1	1
dnc	25	14	13
RpL23A	9	14	13
Wnt2	5	2	2
Wnt6	3	1	1
Klp54D	7	2	2
Wnt4	3	2	1
CR44165	0	1	0
CR44164	0	1	0
CR44166	0	1	0
CG34248	1	3	2
CG34249	1	1	1
CG43112	0	1	1
CG34245	1	1	1
CG43110	9	12	7
CG43111	1	1	1
CR44169	5	2	0
CR44168	0	1	0
CG43114	1	1	1
Pi4KIIalpha	14	13	7
mbl	24	17	16
mbm	1	3	2
CG43222	1	1	1
sob	1	1	1
Sod2	4	4	2
Sod3	9	12	3
CG31004	18	10	4
CG42241	0	1	1
CG42792	1	2	1
CG42791	1	1	1
CG42790	6	25	3
CG42245	8	1	1
CG42796	6	3	3
CG42795	14	32	24
mbc	17	13	5
Mgn00308	1	3	1
unc-13-4A	12	10	2
CG31086	1	6	2
mbt	2	8	2
Su(Ste):CR42409	0	1	0
Pms2	8	2	2
CG9754	0	2	1
janA	7	5	3
janB	3	1	1
snRNP-U1-C	0	2	1
tamo	5	2	1
CG14085	6	1	1
CG10096	6	2	2
CG5521	9	5	3
CG5522	8	5	2
Ntf-2	6	9	3
CG5524	13	3	3
CG5525	5	2	2
Hand	3	2	2
Tpr2	5	4	2
CG31446	3	2	2
tRNA:K5:87BC	0	1	0
HisCl1	8	9	4
az2	2	1	1
Nopp140	12	10	9
CR9337	3	1	1
CG11815	0	2	2
Axud1	3	8	2
Drip	10	10	6
Grasp65	1	1	1
CG31088	3	4	2
Cpr72Eb	0	1	1
Prx6005	2	1	1
Cpr73D	5	4	3
CG6950	9	13	1
CG6951	3	2	1
CG14087	5	4	4
TwdlO	0	1	1
CG6954	15	10	4
TwdlJ	0	1	1
TwdlK	0	1	1
TwdlD	2	2	2
TwdlE	2	1	1
TwdlF	1	1	1
snoRNA:Psi28S-1837b	0	1	0
Mgn574	0	2	0
snoRNA:Psi28S-3378	0	1	0
CG13510	4	5	3
mRpS14	1	3	1
TwdlX	2	1	1
CG10654	2	18	5
TwdlZ	0	1	1
TwdlT	6	5	5
CG14153	1	1	1
TwdlV	1	1	1
CG14151	4	3	2
TwdlP	0	3	2
TwdlQ	1	1	1
CG14154	2	3	3
TwdlS	1	2	2
CG15209	0	1	1
Ald	9	66	9
qin	9	1	1
CG6308	0	1	1
eIF2B-epsilon	4	1	1
CG15200	0	1	1
CG15203	2	2	1
mtTFB2	4	2	2
CG18636	3	1	1
CG18327	2	1	1
Mgn683	0	2	1
Gos28	3	2	2
Mgn681	2	2	0
Mgn687	0	2	1
Mgn685	0	2	1
PrBP	0	1	1
Mgn689	0	2	1
Sin	2	2	2
CG31908	4	6	1
CG31909	3	3	1
rols	14	15	8
CG31904	6	5	2
Mgn095195	0	1	0
CG3209	8	5	4
CG31907	1	1	1
eloF	1	1	1
Rbp1-like	2	7	2
CG43088	2	1	1
Acyp	0	2	1
CG33502	2	1	1
Pros29	2	1	1
CG33500	0	2	1
CG33506	2	1	1
Mgn095191	0	1	0
CG33056	7	6	2
CG33057	0	1	1
Ag5r2	1	1	1
CG33509	3	4	4
Pros25	5	2	2
Dgp-1	5	2	1
mir-281-2	0	1	0
noncoding_7185	1	1	0
mir-281-1	0	1	0
CG15127	0	2	1
Idh	9	14	6
RacGAP84C	2	2	2
Cyp9c1	2	2	1
snoRNA:Me28S-U1848	0	1	0
CG3062	5	3	3
CG3061	6	4	2
snoRNA:Psi28S-3385b	0	1	0
CG3065	2	4	2
sec63	3	2	1
snoRNA:Me28S-A1666a	0	1	0
Pxn	15	13	5
Dsor1	5	5	3
CG13865	2	3	2
Uch	6	6	6
Pxd	8	1	1
CG12006	5	7	4
CG12007	0	1	1
CG12004	8	11	3
RpII33	1	2	2
CG12003	1	1	1
CG12001	4	2	2
osp	13	4	4
CG12009	3	2	2
eIF2B-alpha	5	1	1
osk	4	4	4
CG42358	3	3	1
Nf1	21	9	6
osa	19	64	8
pes	10	16	4
CR43378	1	2	0
TepII	20	17	13
CG32814	2	2	2
NP15.6	0	1	1
CaBP1	2	2	2
CG14655	2	5	1
veg	3	11	1
CG4565	1	2	1
chr2R_10912640_10913060.0	0	1	0
CG10352	5	3	2
TepIV	9	6	6
CG42351	14	12	12
CG10357	3	1	1
CG6785	3	5	1
CG12263	7	3	2
RpL22	7	8	8
CkIIalpha-i3	7	2	2
CG12264	2	2	2
CkIIalpha-i1	1	1	1
unc79	30	15	15
Ubc84D	0	1	1
CG12269	2	2	2
CG6789	0	1	1
CG6788	1	1	1
Mgn00541	1	1	0
Mgat2	14	89	16
CG5326	4	1	1
CG5327	5	6	1
CG5322	6	5	3
CG5323	2	1	1
CG5321	1	2	2
mahj	10	2	2
Mgn98072	0	1	0
CG1529	3	5	3
CG32000	29	1501	36
Mgn98073	0	3	0
CG8878	9	12	1
CG1835	4	3	3
CG1832	8	4	4
Mgn98070	0	1	0
Taz	8	7	5
CG1523	2	1	1
Mgn98071	0	1	0
CR42646	9	4	1
CG2336	3	2	2
CG7789	1	2	1
CG7786	0	1	1
CG7787	1	2	1
noncoding_20373	1	1	0
CG7785	2	2	1
CG8795	12	7	3
CG7781	3	6	1
sced	1	3	1
Mat89Ba	5	1	1
Mgn98074	1	1	0
CG6439	5	2	1
CG11842	2	1	1
chr2L_3627636_3627855.0	0	1	0
CG6435	2	1	1
CG6434	3	1	1
boca	2	2	2
CG6431	7	3	3
CG34129	0	1	1
M6	8	5	5
CG32822	0	3	2
CG32820	4	2	2
CG34120	16	18	5
Mgn98078	0	1	0
CG32829	0	1	1
CG4288	6	2	1
CG6194	5	7	5
Mgn98079	0	1	0
CG9356	2	2	1
Six4	3	1	1
Dhc64C	18	9	9
CG1785	4	2	1
melt	13	8	4
